Symbol  	Code 	UTF‑8 	Name
■ 	25A0 	E2 96 A0	BLACK SQUARE
□ 	25A1 	E2 96 A1	WHITE SQUARE
▢ 	25A2 	E2 96 A2	WHITE SQUARE WITH ROUNDED CORNERS
▣ 	25A3 	E2 96 A3	WHITE SQUARE CONTAINING BLACK SMALL SQUARE
▤ 	25A4 	E2 96 A4	SQUARE WITH HORIZONTAL FILL
▥ 	25A5 	E2 96 A5	SQUARE WITH VERTICAL FILL
▦ 	25A6 	E2 96 A6	SQUARE WITH ORTHOGONAL CROSSHATCH FILL
▧ 	25A7 	E2 96 A7	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
▨ 	25A8 	E2 96 A8	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
▩ 	25A9 	E2 96 A9	SQUARE WITH DIAGONAL CROSSHATCH FILL
▪ 	25AA 	E2 96 AA	BLACK SMALL SQUARE
▫ 	25AB 	E2 96 AB	WHITE SMALL SQUARE
▬ 	25AC 	E2 96 AC	BLACK RECTANGLE
▭ 	25AD 	E2 96 AD	WHITE RECTANGLE
▮ 	25AE 	E2 96 AE	BLACK VERTICAL RECTANGLE
▯ 	25AF 	E2 96 AF	WHITE VERTICAL RECTANGLE
▰ 	25B0 	E2 96 B0	BLACK PARALLELOGRAM
▱ 	25B1 	E2 96 B1	WHITE PARALLELOGRAM
▲ 	25B2 	E2 96 B2	BLACK UP-POINTING TRIANGLE
△ 	25B3 	E2 96 B3	WHITE UP-POINTING TRIANGLE
▴ 	25B4 	E2 96 B4	BLACK UP-POINTING SMALL TRIANGLE
▵ 	25B5 	E2 96 B5	WHITE UP-POINTING SMALL TRIANGLE
▶ 	25B6 	E2 96 B6	BLACK RIGHT-POINTING TRIANGLE
▷ 	25B7 	E2 96 B7	WHITE RIGHT-POINTING TRIANGLE
▸ 	25B8 	E2 96 B8	BLACK RIGHT-POINTING SMALL TRIANGLE
▹ 	25B9 	E2 96 B9	WHITE RIGHT-POINTING SMALL TRIANGLE
► 	25BA 	E2 96 BA	BLACK RIGHT-POINTING POINTER
▻ 	25BB 	E2 96 BB	WHITE RIGHT-POINTING POINTER
▼ 	25BC 	E2 96 BC	BLACK DOWN-POINTING TRIANGLE
▽ 	25BD 	E2 96 BD	WHITE DOWN-POINTING TRIANGLE
▾ 	25BE 	E2 96 BE	BLACK DOWN-POINTING SMALL TRIANGLE
▿ 	25BF 	E2 96 BF	WHITE DOWN-POINTING SMALL TRIANGLE
◀ 	25C0 	E2 97 80	BLACK LEFT-POINTING TRIANGLE
◁ 	25C1 	E2 97 81	WHITE LEFT-POINTING TRIANGLE
◂ 	25C2 	E2 97 82	BLACK LEFT-POINTING SMALL TRIANGLE
◃ 	25C3 	E2 97 83	WHITE LEFT-POINTING SMALL TRIANGLE
◄ 	25C4 	E2 97 84	BLACK LEFT-POINTING POINTER
◅ 	25C5 	E2 97 85	WHITE LEFT-POINTING POINTER
◆ 	25C6 	E2 97 86	BLACK DIAMOND
◇ 	25C7 	E2 97 87	WHITE DIAMOND
◈ 	25C8 	E2 97 88	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
◉ 	25C9 	E2 97 89	FISHEYE
◊ 	25CA 	E2 97 8A	LOZENGE
○ 	25CB 	E2 97 8B	WHITE CIRCLE
◌ 	25CC 	E2 97 8C	DOTTED CIRCLE
◍ 	25CD 	E2 97 8D	CIRCLE WITH VERTICAL FILL
◎ 	25CE 	E2 97 8E	BULLSEYE
● 	25CF 	E2 97 8F	BLACK CIRCLE
◐ 	25D0 	E2 97 90	CIRCLE WITH LEFT HALF BLACK
◑ 	25D1 	E2 97 91	CIRCLE WITH RIGHT HALF BLACK
◒ 	25D2 	E2 97 92	CIRCLE WITH LOWER HALF BLACK
◓ 	25D3 	E2 97 93	CIRCLE WITH UPPER HALF BLACK
◔ 	25D4 	E2 97 94	CIRCLE WITH UPPER RIGHT QUADRANT BLACK
◕ 	25D5 	E2 97 95	CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
◖ 	25D6 	E2 97 96	LEFT HALF BLACK CIRCLE
◗ 	25D7 	E2 97 97	RIGHT HALF BLACK CIRCLE
◘ 	25D8 	E2 97 98	INVERSE BULLET
◙ 	25D9 	E2 97 99	INVERSE WHITE CIRCLE
◚ 	25DA 	E2 97 9A	UPPER HALF INVERSE WHITE CIRCLE
◛ 	25DB 	E2 97 9B	LOWER HALF INVERSE WHITE CIRCLE
◜ 	25DC 	E2 97 9C	UPPER LEFT QUADRANT CIRCULAR ARC
◝ 	25DD 	E2 97 9D	UPPER RIGHT QUADRANT CIRCULAR ARC
◞ 	25DE 	E2 97 9E	LOWER RIGHT QUADRANT CIRCULAR ARC
◟ 	25DF 	E2 97 9F	LOWER LEFT QUADRANT CIRCULAR ARC
◠ 	25E0 	E2 97 A0	UPPER HALF CIRCLE
◡ 	25E1 	E2 97 A1	LOWER HALF CIRCLE
◢ 	25E2 	E2 97 A2	BLACK LOWER RIGHT TRIANGLE
◣ 	25E3 	E2 97 A3	BLACK LOWER LEFT TRIANGLE
◤ 	25E4 	E2 97 A4	BLACK UPPER LEFT TRIANGLE
◥ 	25E5 	E2 97 A5	BLACK UPPER RIGHT TRIANGLE
◦ 	25E6 	E2 97 A6	WHITE BULLET
◧ 	25E7 	E2 97 A7	SQUARE WITH LEFT HALF BLACK
◨ 	25E8 	E2 97 A8	SQUARE WITH RIGHT HALF BLACK
◩ 	25E9 	E2 97 A9	SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK
◪ 	25EA 	E2 97 AA	SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
◫ 	25EB 	E2 97 AB	WHITE SQUARE WITH VERTICAL BISECTING LINE
◬ 	25EC 	E2 97 AC	WHITE UP-POINTING TRIANGLE WITH DOT
◭ 	25ED 	E2 97 AD	UP-POINTING TRIANGLE WITH LEFT HALF BLACK
◮ 	25EE 	E2 97 AE	UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
◯ 	25EF 	E2 97 AF	LARGE CIRCLE
◰ 	25F0 	E2 97 B0	WHITE SQUARE WITH UPPER LEFT QUADRANT
◱ 	25F1 	E2 97 B1	WHITE SQUARE WITH LOWER LEFT QUADRANT
◲ 	25F2 	E2 97 B2	WHITE SQUARE WITH LOWER RIGHT QUADRANT
◳ 	25F3 	E2 97 B3	WHITE SQUARE WITH UPPER RIGHT QUADRANT
◴ 	25F4 	E2 97 B4	WHITE CIRCLE WITH UPPER LEFT QUADRANT
◵ 	25F5 	E2 97 B5	WHITE CIRCLE WITH LOWER LEFT QUADRANT
◶ 	25F6 	E2 97 B6	WHITE CIRCLE WITH LOWER RIGHT QUADRANT
